id,hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
3,20,16.3,1.0,1.5,89.0,576.0,0.027000000000000003,76.0,33.0,49.0
6,13,20.1,0.0,1.4,48.0,916.0,0.042,73.0,40.0,159.0
7,6,13.9,0.0,0.7,79.0,1382.0,0.033,32.0,19.0,26.0
8,23,8.1,0.0,2.7,54.0,946.0,0.04,75.0,64.0,57.0
9,18,29.5,0.0,4.8,7.0,2000.0,0.057,27.0,11.0,431.0
13,2,13.6,0.0,1.7,80.0,1073.0,0.027000000000000003,34.0,15.0,39.0
14,3,10.6,0.0,1.5,58.0,1548.0,0.038,62.0,33.0,23.0
16,21,16.0,0.0,6.0,21.0,1961.0,0.05,90.0,28.0,146.0
19,9,13.8,0.0,1.9,64.0,1344.0,0.039,93.0,19.0,39.0
20,14,17.2,0.0,2.1,32.0,1571.0,0.025,64.0,19.0,83.0
21,4,5.7,0.0,0.6,77.0,1960.0,0.028,14.0,18.0,6.0
22,10,15.4,0.0,2.7,62.0,1362.0,0.039,99.0,21.0,42.0
24,9,14.1,0.0,3.2,59.0,1808.0,0.028,52.0,18.0,59.0
27,10,9.2,0.0,1.9,55.0,462.0,0.023,91.0,84.0,60.0
28,1,20.0,0.0,1.8,58.0,2000.0,,,,74.0
29,13,14.0,1.0,2.8,42.0,1518.0,0.03,49.0,37.0,5.0
30,21,18.8,0.0,2.2,34.0,2000.0,0.04,32.0,14.0,217.0
32,17,11.5,1.0,3.0,91.0,555.0,0.036000000000000004,29.0,21.0,64.0
33,13,22.6,0.0,,41.0,987.0,0.046,64.0,39.0,208.0
34,18,18.0,1.0,1.9,82.0,685.0,0.044,99.0,42.0,15.0
35,10,15.4,0.0,3.1,19.0,1225.0,0.032,199.0,18.0,58.0
36,8,12.6,0.0,5.3,53.0,1576.0,0.014,52.0,40.0,209.0
37,16,19.4,0.0,5.9,21.0,2000.0,0.052000000000000005,52.0,14.0,122.0
38,23,15.4,0.0,1.4,87.0,423.0,0.019,85.0,35.0,87.0
44,3,17.2,0.0,1.6,59.0,1277.0,0.052000000000000005,49.0,32.0,30.0
45,0,11.7,0.0,3.5,80.0,895.0,0.044,58.0,31.0,34.0
46,2,13.0,0.0,0.5,48.0,1992.0,0.043,73.0,26.0,29.0
47,7,10.9,0.0,0.8,77.0,1092.0,0.035,79.0,17.0,18.0
48,15,18.0,0.0,3.3,20.0,2000.0,0.045,54.0,21.0,106.0
49,2,8.9,0.0,0.9,52.0,839.0,0.011,80.0,71.0,10.0
50,10,16.8,0.0,1.8,62.0,955.0,0.016,55.0,23.0,81.0
53,14,20.8,0.0,4.6,18.0,2000.0,0.071,38.0,22.0,258.0
55,19,11.4,0.0,2.2,87.0,800.0,0.04,39.0,27.0,150.0
56,21,10.2,0.0,0.5,84.0,1668.0,0.021,24.0,,127.0
57,22,23.4,0.0,2.6,37.0,2000.0,0.015,26.0,16.0,214.0
58,11,21.2,0.0,2.3,45.0,1929.0,0.034,30.0,19.0,115.0
64,13,19.8,0.0,1.8,29.0,1943.0,0.041,62.0,26.0,155.0
67,15,19.7,0.0,4.5,31.0,1795.0,0.065,64.0,39.0,138.0
69,22,20.8,0.0,1.8,48.0,1781.0,0.028,55.0,31.0,221.0
70,5,15.3,0.0,1.8,52.0,1363.0,0.04,65.0,39.0,16.0
72,19,18.9,0.0,2.8,59.0,1806.0,0.042,49.0,26.0,218.0
73,22,14.9,0.0,2.5,66.0,1975.0,0.039,45.0,19.0,201.0
74,13,20.2,0.0,2.9,23.0,1304.0,0.065,43.0,18.0,110.0
75,3,15.1,0.0,0.8,74.0,1935.0,0.034,32.0,20.0,30.0
76,17,21.7,0.0,3.0,35.0,2000.0,,32.0,19.0,213.0
77,17,25.1,0.0,4.5,33.0,2000.0,0.06,32.0,21.0,268.0
78,1,12.2,0.0,3.0,49.0,1071.0,,,,36.0
79,14,19.4,0.0,5.7,40.0,1971.0,0.05,61.0,16.0,268.0
81,17,14.6,1.0,2.7,84.0,1645.0,0.044,21.0,14.0,93.0
83,6,11.0,0.0,1.3,25.0,1056.0,0.041,213.0,21.0,12.0
84,20,15.6,0.0,3.2,30.0,1211.0,0.06,69.0,58.0,130.0
85,10,16.6,0.0,3.1,53.0,1945.0,0.027000000000000003,76.0,14.0,89.0
86,21,14.7,0.0,2.9,46.0,1754.0,0.051,88.0,19.0,88.0
87,2,11.4,0.0,2.1,40.0,1766.0,0.033,103.0,24.0,23.0
88,21,20.1,0.0,1.2,42.0,1716.0,0.049,70.0,31.0,187.0
89,11,23.4,0.0,2.3,34.0,1911.0,0.042,44.0,25.0,95.0
90,7,8.9,0.0,0.2,75.0,642.0,0.033,66.0,36.0,19.0
91,10,12.1,0.0,1.5,47.0,1842.0,0.009000000000000001,90.0,25.0,60.0
92,13,13.5,0.0,3.2,32.0,1758.0,0.042,41.0,37.0,172.0
93,5,15.0,1.0,1.2,88.0,203.0,0.026,35.0,24.0,3.0
95,2,18.6,0.0,1.0,75.0,274.0,0.018000000000000002,115.0,73.0,36.0
96,21,18.8,0.0,3.9,64.0,687.0,0.07,87.0,52.0,190.0
97,21,18.6,0.0,2.3,35.0,987.0,0.031,178.0,37.0,139.0
99,16,22.3,0.0,2.0,20.0,2000.0,0.055,33.0,19.0,264.0
100,5,12.5,0.0,2.0,43.0,2000.0,0.04,17.0,9.0,23.0
103,13,25.3,0.0,2.4,31.0,1893.0,0.034,59.0,32.0,137.0
104,12,18.6,0.0,3.2,56.0,1276.0,0.05,51.0,24.0,120.0
105,15,21.1,0.0,6.0,19.0,1957.0,0.07200000000000001,35.0,17.0,348.0
106,6,12.7,0.0,3.9,41.0,2000.0,0.039,13.0,9.0,38.0
108,3,17.0,0.0,0.5,47.0,1218.0,0.039,71.0,39.0,21.0
109,13,24.7,0.0,2.2,48.0,1926.0,0.036000000000000004,26.0,18.0,121.0
110,3,18.1,0.0,1.5,64.0,2000.0,0.013,31.0,22.0,15.0
111,2,6.4,0.0,0.9,58.0,1039.0,0.031,72.0,56.0,3.0
114,10,20.4,0.0,1.7,39.0,1631.0,0.023,39.0,22.0,101.0
117,2,15.1,0.0,0.6,47.0,2000.0,0.006,38.0,24.0,41.0
118,22,16.2,0.0,3.5,29.0,2000.0,0.044,46.0,14.0,117.0
119,5,11.0,0.0,1.6,84.0,469.0,0.049,61.0,33.0,12.0
123,23,15.4,0.0,2.8,71.0,1926.0,0.024,33.0,16.0,124.0
124,11,15.0,0.0,1.4,50.0,1517.0,0.03,48.0,24.0,86.0
125,9,15.1,0.0,2.2,71.0,791.0,0.016,53.0,24.0,104.0
126,0,15.5,0.0,0.9,30.0,2000.0,0.004,51.0,32.0,76.0
127,21,22.1,0.0,2.6,56.0,2000.0,0.028,30.0,21.0,222.0
128,15,29.1,0.0,3.9,20.0,1950.0,0.069,50.0,30.0,106.0
129,7,13.2,0.0,0.9,55.0,2000.0,0.041,34.0,17.0,100.0
130,1,9.4,0.0,2.5,65.0,1907.0,,,,39.0
131,14,20.1,0.0,4.9,52.0,1331.0,0.063,53.0,28.0,130.0
133,7,17.7,0.0,0.6,66.0,1996.0,0.006,34.0,28.0,106.0
134,2,10.7,0.0,2.4,72.0,990.0,0.042,52.0,25.0,30.0
135,22,19.9,0.0,2.8,44.0,2000.0,0.039,29.0,22.0,196.0
136,20,20.7,0.0,4.1,31.0,2000.0,0.043,40.0,13.0,191.0
137,7,6.4,0.0,0.7,83.0,1147.0,0.018000000000000002,55.0,21.0,82.0
138,14,22.0,0.0,5.5,57.0,1105.0,0.054000000000000006,44.0,24.0,41.0
139,5,8.2,0.0,0.4,71.0,1758.0,0.034,46.0,19.0,10.0
140,10,16.8,0.0,2.1,63.0,1086.0,0.026,36.0,18.0,99.0
141,23,17.8,0.0,2.2,52.0,2000.0,0.023,32.0,19.0,183.0
142,19,25.0,0.0,3.7,24.0,2000.0,0.054000000000000006,41.0,23.0,252.0
144,22,14.3,0.0,1.7,72.0,820.0,0.006,60.0,45.0,108.0
145,11,23.3,0.0,1.2,32.0,1001.0,0.027000000000000003,63.0,33.0,104.0
146,19,17.8,0.0,3.6,53.0,746.0,0.04,83.0,47.0,204.0
148,12,18.6,0.0,1.4,57.0,788.0,0.042,74.0,43.0,116.0
149,16,15.8,0.0,5.3,17.0,1923.0,0.047,,,102.0
154,3,11.7,0.0,3.9,98.0,150.0,0.041,20.0,20.0,3.0
157,20,11.4,0.0,2.5,85.0,716.0,0.033,38.0,26.0,102.0
158,11,21.5,0.0,1.9,37.0,1284.0,0.053,90.0,37.0,112.0
160,8,19.4,0.0,2.7,71.0,627.0,0.053,68.0,39.0,191.0
162,4,8.0,0.0,1.5,53.0,861.0,0.005,82.0,77.0,8.0
164,3,8.5,0.0,1.1,54.0,848.0,0.006999999999999999,81.0,73.0,8.0
165,18,25.4,0.0,3.4,33.0,2000.0,0.06,40.0,21.0,369.0
166,9,10.1,0.0,0.4,60.0,1421.0,0.013,52.0,24.0,107.0
167,16,29.6,0.0,3.6,14.0,2000.0,0.061,49.0,28.0,164.0
168,19,20.0,0.0,3.8,72.0,1406.0,0.022,37.0,22.0,5.0
169,10,11.7,0.0,1.0,34.0,914.0,0.009000000000000001,90.0,70.0,65.0
170,20,16.9,0.0,3.4,63.0,1966.0,0.041,46.0,22.0,185.0
171,12,18.3,0.0,5.3,37.0,1992.0,0.045,48.0,11.0,125.0
172,16,23.4,0.0,3.6,39.0,1670.0,0.07400000000000001,59.0,40.0,291.0
173,17,21.8,0.0,4.0,23.0,1999.0,0.055,35.0,20.0,250.0
174,10,9.5,0.0,2.7,99.0,182.0,0.023,24.0,23.0,37.0
175,15,28.4,0.0,5.1,43.0,990.0,0.099,77.0,49.0,97.0
176,20,22.7,0.0,3.1,41.0,732.0,0.1,102.0,60.0,249.0
178,18,13.3,0.0,4.3,73.0,1518.0,0.044,45.0,22.0,145.0
179,3,13.2,0.0,2.5,25.0,950.0,0.041,269.0,21.0,16.0
180,21,12.9,0.0,3.4,48.0,2000.0,0.042,45.0,23.0,132.0
181,16,26.2,0.0,4.3,31.0,1718.0,,47.0,23.0,136.0
182,21,15.5,0.0,3.2,64.0,1994.0,0.039,40.0,19.0,194.0
183,0,18.5,0.0,0.9,46.0,1848.0,0.008,69.0,44.0,69.0
184,2,18.0,0.0,2.1,66.0,1659.0,0.023,40.0,29.0,20.0
185,17,27.2,0.0,4.4,45.0,1621.0,0.08199999999999999,55.0,32.0,304.0
187,14,28.4,0.0,3.4,44.0,819.0,0.08199999999999999,78.0,52.0,97.0
189,7,10.7,0.0,1.3,93.0,177.0,0.015,71.0,58.0,6.0
193,19,27.0,0.0,3.6,39.0,2000.0,0.047,,,319.0
194,3,10.7,1.0,3.3,56.0,1392.0,0.032,103.0,23.0,12.0
196,9,18.7,0.0,1.3,43.0,1108.0,0.01,71.0,40.0,97.0
197,20,10.4,0.0,1.7,84.0,1337.0,0.018000000000000002,27.0,27.0,86.0
198,22,8.4,0.0,3.5,60.0,2000.0,0.03,47.0,36.0,58.0
199,4,17.8,0.0,1.8,91.0,328.0,0.013,25.0,22.0,9.0
201,17,20.8,0.0,3.2,22.0,1135.0,0.068,74.0,57.0,118.0
202,9,14.7,0.0,2.0,68.0,589.0,0.01,65.0,44.0,60.0
203,13,19.3,0.0,3.2,52.0,929.0,0.011,126.0,37.0,148.0
204,2,17.8,0.0,1.5,47.0,2000.0,0.028,34.0,22.0,50.0
205,15,22.2,0.0,4.9,56.0,1501.0,0.058,46.0,24.0,11.0
206,10,18.2,0.0,2.4,60.0,527.0,,,,66.0
207,18,15.2,0.0,7.4,84.0,453.0,0.062,62.0,28.0,115.0
208,1,18.8,0.0,1.1,61.0,2000.0,,,,62.0
212,23,12.2,0.0,2.3,72.0,869.0,0.034,72.0,34.0,80.0
213,21,10.5,0.0,2.6,17.0,2000.0,0.038,58.0,15.0,122.0
216,20,23.6,0.0,4.0,60.0,1082.0,0.078,61.0,37.0,247.0
217,9,17.6,0.0,0.9,47.0,1892.0,0.013,36.0,22.0,121.0
220,1,18.4,0.0,3.1,31.0,2000.0,,,,63.0
221,11,22.2,0.0,2.2,38.0,676.0,0.04,106.0,52.0,85.0
223,0,18.6,0.0,0.3,58.0,554.0,0.053,110.0,63.0,104.0
224,23,12.7,0.0,2.1,60.0,737.0,0.061,88.0,60.0,75.0
226,3,16.8,0.0,1.6,40.0,1994.0,0.046,48.0,25.0,30.0
227,18,25.3,0.0,4.7,31.0,2000.0,0.061,30.0,17.0,293.0
229,13,26.4,0.0,4.1,27.0,1943.0,0.061,44.0,23.0,92.0
230,0,11.4,1.0,2.8,84.0,350.0,0.012,69.0,59.0,17.0
231,15,19.7,0.0,4.6,16.0,1986.0,0.047,31.0,12.0,104.0
232,7,11.4,0.0,1.6,82.0,460.0,0.039,74.0,44.0,12.0
233,12,25.7,0.0,1.6,44.0,1144.0,0.02,49.0,30.0,119.0
234,1,15.3,0.0,1.4,77.0,1542.0,,,,41.0
235,11,17.4,0.0,2.7,46.0,876.0,0.019,76.0,35.0,111.0
237,20,23.2,0.0,4.7,38.0,2000.0,0.043,41.0,29.0,278.0
238,5,7.5,0.0,0.9,68.0,2000.0,0.029,61.0,16.0,10.0
239,18,19.4,0.0,4.5,37.0,1789.0,0.058,54.0,31.0,305.0
240,13,22.6,0.0,4.2,55.0,1486.0,0.046,32.0,23.0,115.0
244,9,12.4,0.0,1.6,77.0,550.0,0.029,73.0,41.0,74.0
246,4,16.9,0.0,2.0,71.0,1636.0,0.037000000000000005,29.0,22.0,8.0
248,4,10.4,0.0,0.2,83.0,1235.0,0.027000000000000003,35.0,24.0,13.0
249,0,16.6,0.0,2.3,47.0,1048.0,0.07400000000000001,76.0,41.0,89.0
250,2,12.3,0.0,1.2,54.0,1814.0,0.036000000000000004,78.0,20.0,24.0
255,16,11.6,1.0,4.3,92.0,320.0,0.041,,,36.0
256,2,11.4,0.0,1.6,83.0,610.0,0.048,57.0,32.0,37.0
257,20,14.2,0.0,2.5,76.0,1736.0,0.043,29.0,24.0,138.0
259,17,18.6,0.0,5.8,22.0,1935.0,0.062,62.0,16.0,148.0
262,14,18.8,0.0,3.8,23.0,2000.0,0.047,40.0,14.0,113.0
263,6,13.0,0.0,1.2,80.0,611.0,0.02,56.0,41.0,15.0
264,5,9.9,0.0,0.5,85.0,1082.0,0.018000000000000002,34.0,26.0,12.0
268,1,8.8,0.0,3.6,62.0,1997.0,,,,45.0
271,5,9.5,0.0,0.5,49.0,2000.0,0.027000000000000003,26.0,19.0,11.0
272,7,15.8,0.0,2.0,73.0,776.0,0.036000000000000004,30.0,23.0,109.0
273,6,11.1,0.0,2.0,92.0,202.0,0.011,76.0,63.0,14.0
274,10,13.4,0.0,2.8,35.0,2000.0,0.024,30.0,20.0,92.0
276,22,17.2,0.0,2.1,23.0,2000.0,0.011,37.0,24.0,173.0
277,13,18.2,0.0,2.7,39.0,1678.0,0.039,55.0,21.0,138.0
280,11,19.6,0.0,2.9,50.0,602.0,0.061,193.0,54.0,66.0
281,4,10.1,0.0,1.6,73.0,937.0,0.04,50.0,22.0,12.0
282,13,21.4,0.0,1.8,54.0,737.0,0.032,77.0,28.0,114.0
283,7,7.0,0.0,1.0,57.0,835.0,0.004,79.0,69.0,71.0
284,16,18.2,0.0,2.7,30.0,1932.0,0.051,56.0,15.0,129.0
285,12,25.3,0.0,2.6,39.0,1809.0,0.048,33.0,24.0,168.0
290,7,16.2,0.0,1.7,51.0,1583.0,0.004,65.0,46.0,87.0
291,3,7.9,0.0,1.7,73.0,1827.0,0.034,52.0,21.0,14.0
292,12,23.5,0.0,2.0,55.0,1788.0,0.027000000000000003,26.0,18.0,138.0
295,8,9.2,0.0,0.8,90.0,347.0,0.022,39.0,,160.0
296,5,13.2,0.0,1.0,81.0,722.0,0.019,51.0,24.0,13.0
298,4,18.5,0.0,0.2,55.0,2000.0,0.014,30.0,21.0,17.0
299,20,16.4,0.0,4.2,33.0,2000.0,0.052000000000000005,53.0,24.0,155.0
300,6,11.5,0.0,0.5,43.0,869.0,0.012,72.0,64.0,21.0
301,23,19.3,0.0,3.7,52.0,812.0,0.058,108.0,64.0,143.0
305,4,13.1,0.0,0.4,73.0,1480.0,0.005,33.0,19.0,13.0
306,9,21.3,0.0,1.2,45.0,1993.0,0.008,31.0,19.0,129.0
308,21,15.0,0.0,2.7,30.0,2000.0,0.056,33.0,21.0,109.0
310,10,19.4,0.0,3.6,37.0,1462.0,0.04,81.0,38.0,83.0
313,20,10.2,0.0,2.3,47.0,2000.0,0.047,41.0,29.0,61.0
316,14,23.4,0.0,2.6,43.0,844.0,0.047,71.0,46.0,229.0
317,6,9.9,0.0,0.3,77.0,774.0,0.026,63.0,31.0,13.0
318,20,19.7,0.0,4.3,60.0,1991.0,0.042,35.0,24.0,244.0
320,5,14.7,0.0,0.2,48.0,2000.0,0.023,28.0,20.0,19.0
321,17,23.0,0.0,2.5,40.0,921.0,0.034,43.0,35.0,159.0
324,23,15.4,0.0,2.2,33.0,2000.0,0.034,49.0,19.0,85.0
326,2,12.7,0.0,2.5,45.0,2000.0,0.037000000000000005,32.0,25.0,21.0
328,4,18.0,0.0,1.3,75.0,259.0,0.006999999999999999,110.0,68.0,15.0
329,8,15.0,0.0,1.1,50.0,1465.0,0.006,54.0,29.0,46.0
331,21,19.4,0.0,3.4,40.0,2000.0,0.04,33.0,17.0,199.0
334,16,27.5,0.0,5.0,24.0,1916.0,0.067,45.0,27.0,148.0
335,6,6.6,0.0,0.4,83.0,1109.0,0.024,54.0,20.0,22.0
336,20,15.4,0.0,5.3,46.0,1536.0,0.058,99.0,23.0,81.0
337,14,17.8,0.0,2.7,56.0,524.0,0.025,72.0,59.0,203.0
339,11,16.4,0.0,4.1,26.0,1923.0,0.034,40.0,16.0,101.0
340,22,22.8,0.0,2.5,67.0,1899.0,0.018000000000000002,33.0,25.0,221.0
342,8,10.3,0.0,4.3,43.0,2000.0,0.032,34.0,26.0,195.0
343,4,9.9,0.0,2.6,49.0,2000.0,0.04,32.0,16.0,14.0
344,2,19.8,0.0,2.2,58.0,1632.0,0.025,63.0,30.0,52.0
346,1,12.4,1.0,2.4,99.0,232.0,,,,6.0
347,23,16.6,0.0,0.4,26.0,2000.0,0.004,60.0,32.0,105.0
351,10,14.4,0.0,3.1,32.0,1767.0,0.029,42.0,22.0,79.0
353,12,24.7,0.0,2.7,31.0,2000.0,0.05,26.0,17.0,142.0
354,23,19.8,0.0,2.2,57.0,2000.0,0.004,32.0,21.0,153.0
357,6,9.2,0.0,2.2,77.0,848.0,0.03,46.0,25.0,43.0
359,15,27.0,0.0,3.9,43.0,1090.0,0.043,54.0,32.0,133.0
360,4,15.9,0.0,1.7,59.0,669.0,0.02,103.0,62.0,20.0
361,23,16.8,0.0,2.2,45.0,2000.0,0.03,31.0,17.0,123.0
362,5,18.6,0.0,2.3,61.0,1527.0,0.025,56.0,30.0,28.0
364,23,11.8,0.0,2.6,78.0,916.0,0.041,58.0,32.0,79.0
365,14,23.1,0.0,3.6,44.0,620.0,0.08,237.0,62.0,91.0
366,17,22.3,0.0,2.7,42.0,819.0,0.073,200.0,,151.0
367,16,19.2,0.0,3.5,54.0,2000.0,0.044,32.0,16.0,137.0
368,1,9.9,0.0,1.3,85.0,522.0,,,,35.0
370,9,8.8,0.0,1.8,44.0,833.0,0.005,86.0,69.0,88.0
373,16,23.5,0.0,4.1,20.0,1947.0,0.067,48.0,25.0,332.0
374,23,21.3,0.0,2.3,68.0,900.0,0.056,65.0,38.0,140.0
376,10,17.2,0.0,0.8,56.0,648.0,0.018000000000000002,67.0,48.0,75.0
377,12,18.0,0.0,5.0,18.0,1268.0,0.037000000000000005,163.0,16.0,77.0
378,6,8.7,0.0,0.7,85.0,490.0,0.006,76.0,36.0,13.0
379,13,24.0,0.0,3.5,49.0,1986.0,0.051,42.0,29.0,119.0
381,1,14.1,0.0,,55.0,1992.0,,,,38.0
382,16,21.1,0.0,5.6,21.0,1939.0,0.075,37.0,21.0,382.0
383,15,19.2,0.0,5.4,23.0,2000.0,0.049,42.0,13.0,121.0
384,3,13.5,0.0,0.2,72.0,839.0,0.036000000000000004,60.0,40.0,27.0
385,11,14.9,0.0,2.5,33.0,1928.0,0.023,38.0,20.0,85.0
386,3,13.8,0.0,1.0,81.0,849.0,0.032,48.0,19.0,18.0
387,23,12.1,0.0,1.0,76.0,1995.0,0.036000000000000004,25.0,23.0,78.0
389,4,16.1,0.0,0.6,45.0,1968.0,0.036000000000000004,47.0,26.0,13.0
390,12,23.7,0.0,2.6,36.0,1534.0,0.045,53.0,30.0,125.0
395,22,15.6,0.0,0.3,86.0,507.0,0.02,68.0,30.0,102.0
397,9,11.2,0.0,0.8,67.0,660.0,0.009000000000000001,75.0,38.0,70.0
398,6,17.3,0.0,1.2,90.0,533.0,0.021,26.0,20.0,37.0
399,20,19.9,0.0,1.5,13.0,2000.0,0.045,18.0,14.0,168.0
400,14,27.2,0.0,2.0,36.0,1299.0,0.041,51.0,31.0,118.0
402,13,15.8,0.0,2.5,61.0,455.0,0.02,75.0,66.0,141.0
403,0,19.5,0.0,2.4,55.0,2000.0,0.003,34.0,22.0,98.0
404,3,14.0,0.0,,50.0,2000.0,0.049,35.0,22.0,17.0
405,7,17.0,0.0,1.4,89.0,536.0,0.021,29.0,22.0,103.0
406,2,15.6,0.0,0.8,71.0,1908.0,0.03,33.0,19.0,44.0
408,19,23.5,0.0,4.4,33.0,1428.0,0.064,98.0,41.0,201.0
411,16,26.6,0.0,4.8,38.0,2000.0,0.063,30.0,23.0,300.0
412,1,19.0,0.0,0.6,78.0,258.0,,,,46.0
413,19,22.5,0.0,3.7,53.0,904.0,0.08199999999999999,84.0,53.0,262.0
414,5,18.8,0.0,1.4,74.0,618.0,0.055,61.0,37.0,18.0
415,17,24.1,0.0,2.8,53.0,525.0,0.08199999999999999,88.0,51.0,158.0
417,16,26.2,0.0,3.9,33.0,2000.0,0.063,36.0,23.0,254.0
419,2,12.4,0.0,3.5,42.0,1448.0,0.063,73.0,47.0,25.0
423,2,14.1,0.0,4.5,42.0,2000.0,0.037000000000000005,21.0,12.0,40.0
425,14,26.4,0.0,3.5,32.0,1911.0,0.067,29.0,18.0,229.0
426,10,7.7,0.0,0.5,65.0,990.0,0.011,35.0,,55.0
427,6,13.4,0.0,1.9,78.0,815.0,0.02,53.0,26.0,36.0
430,20,25.7,0.0,2.7,54.0,1978.0,0.025,48.0,31.0,252.0
432,19,24.1,0.0,4.2,34.0,2000.0,0.051,36.0,16.0,278.0
433,0,14.5,0.0,2.2,67.0,1661.0,0.033,47.0,18.0,62.0
434,14,20.0,0.0,1.9,44.0,930.0,0.034,124.0,39.0,156.0
436,15,25.6,0.0,2.1,30.0,1894.0,0.066,44.0,25.0,114.0
437,20,19.3,0.0,2.4,36.0,935.0,0.046,176.0,39.0,123.0
438,20,16.9,0.0,3.5,64.0,754.0,0.03,68.0,53.0,124.0
440,22,10.1,0.0,1.7,86.0,459.0,0.006,40.0,40.0,112.0
442,21,18.0,0.0,2.7,51.0,1967.0,0.056,54.0,33.0,178.0
443,23,19.1,0.0,2.2,44.0,2000.0,0.042,27.0,20.0,152.0
444,7,4.4,0.0,0.6,71.0,633.0,0.033,76.0,71.0,76.0
445,8,14.7,0.0,1.6,70.0,1577.0,0.026,28.0,16.0,56.0
446,0,17.7,0.0,1.1,36.0,1111.0,0.027000000000000003,155.0,35.0,78.0
448,19,21.7,0.0,3.8,19.0,2000.0,0.064,37.0,20.0,191.0
450,1,12.1,0.0,1.8,34.0,2000.0,,,,23.0
453,9,15.1,0.0,4.2,63.0,1849.0,0.028,39.0,21.0,118.0
455,22,13.9,0.0,1.8,25.0,2000.0,0.035,41.0,18.0,157.0
